Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|MC),P(CT|B),0.85,P(ISC|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(CT|B),0.85,P(-ISC|MC),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.05·xy + -0.67·x + 0.17.y + 0.14) / (0.05·xy + -0.67·x + 0.17·y + 0.14)
P(B|MC),P(CT|B),0.85,P(C|MC),(0.69·x + 0.16)/(0.69·x + 0.16),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.1·xy + 0.63·x + -0.3.y + 0.07) / (-0.1·xy + 0.63·x + -0.3·y + 0.07)
P(B|MC),P(CT|B),0.85,P(-C|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(CT|B),0.85,P(SH|MC),(0.09·x + -0.05)/(0.87·x + -0.49),(0.09·x + 0.05)/(0.85·x + 0.51),(0.05·xy + -0.07·x + -0.05.y + -0.01) / (0.54·xy + -0.65·x + -0.51·y + -0.1)
P(B|MC),P(CT|B),0.85,P(-SH|MC),(0.62·x + 0.24)/(0.69·x + 0.27),(0.66·x + 0.12)/(0.73·x + 0.13),(-0.44·xy + -0.41·x + -0.05.y + -0.3) / (-0.48·xy + -0.45·x + -0.06·y + -0.33)
P(B|MC),P(-CT|B),0.85,P(ISC|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(-CT|B),0.85,P(-ISC|MC),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.15·xy + 0.69·x + -0.05.y + -0.02) / (-0.15·xy + 0.69·x + -0.05·y + -0.02)
P(B|MC),P(-CT|B),0.85,P(C|MC),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.48·xy + -0.47·x + 0.07.y + 0.21) / (-0.48·xy + -0.47·x + 0.07·y + 0.21)
P(B|MC),P(-CT|B),0.85,P(-C|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(-CT|B),0.85,P(SH|MC),(0.07·x + 0.08)/(0.65·x + 0.75),(-0.1·x + -0.01)/(-0.99·x + -0.05),(0.09·xy + 0.02·x + -0.03.y + -0.03) / (0.9·xy + 0.21·x + -0.26·y + -0.26)
P(B|MC),P(-CT|B),0.85,P(-SH|MC),(-0.66·x + 0.12)/(-0.73·x + 0.13),(0.2·x + -0.64)/(0.23·x + -0.71),(-0.2·xy + -0.09·x + -0.18.y + 0.6) / (-0.22·xy + -0.1·x + -0.21·y + 0.67)
P(B|MC),P(CT|-B),0.85,P(ISC|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(CT|-B),0.85,P(-ISC|MC),(0.7·x + 0.12)/(0.7·x + 0.12),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.21·xy + -0.67·x + -0.02.y + -0.01) / (-0.21·xy + -0.67·x + -0.02·y + -0.01)
P(B|MC),P(CT|-B),0.85,P(C|MC),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.7·xy + -0.05·x + 0.01.y + 0.05) / (-0.7·xy + -0.05·x + 0.01·y + 0.05)
P(B|MC),P(CT|-B),0.85,P(-C|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(CT|-B),0.85,P(SH|MC),(0.1·x + -0.03)/(0.96·x + -0.28),(0.07·x + -0.07)/(0.68·x + -0.73),(0.02·xy + 0.02·x + 0.09.y + 0.03) / (0.24·xy + 0.21·x + 0.89·y + 0.3)
P(B|MC),P(CT|-B),0.85,P(-SH|MC),(0.62·x + 0.24)/(0.69·x + 0.27),(0.62·x + -0.26)/(0.68·x + -0.29),(0.35·xy + -0.57·x + -0.03.y + 0.01) / (0.39·xy + -0.63·x + -0.03·y + 0.01)
P(B|MC),P(-CT|-B),0.85,P(ISC|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|MC),P(-CT|-B),0.85,P(-ISC|MC),(0.68·x + 0.19)/(0.68·x + 0.19),(0.67·x + -0.22)/(0.67·x + -0.22),(0.23·xy + -0.66·x + 0.11.y + 0.01) / (0.23·xy + -0.66·x + 0.11·y + 0.01)
P(B|MC),P(-CT|-B),0.85,P(C|MC),(0.7·x + 0.12)/(0.7·x + 0.12),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.49·xy + 0.51·x + -0.03.y + 0.07) / (-0.49·xy + 0.51·x + -0.03·y + 0.07)
P(B|MC),P(-CT|-B),0.85,P(-C|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
