Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|MC),0.5713,P(B|-SH),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.48·xy + 0.38·x + 0.35.y + -0.0) / (-0.48·xy + 0.38·x + 0.35·y + -0.0)
P(MC),P(ISC|MC),0.5713,P(-B|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.5713,P(C|-SH),(0.52·x + -0.48)/(0.52·x + -0.48),(0.16·x + 0.69)/(0.16·x + 0.69),(-0.31·xy + -0.5·x + 0.38.y + 0.08) / (-0.31·xy + -0.5·x + 0.38·y + 0.08)
P(MC),P(ISC|MC),0.5713,P(-C|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.5713,P(CT|-SH),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.22·xy + 0.65·x + -0.08.y + -0.16) / (-0.22·xy + 0.65·x + -0.08·y + -0.16)
P(MC),P(ISC|MC),0.5713,P(-CT|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.5713,P(B|-SH),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.56·xy + -0.42·x + -0.1.y + -0.04) / (0.56·xy + -0.42·x + -0.1·y + -0.04)
P(MC),P(-ISC|MC),0.5713,P(-B|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.5713,P(C|-SH),(0.16·x + 0.69)/(0.16·x + 0.69),(0.71·x + 0.02)/(0.71·x + 0.02),(0.69·xy + -0.12·x + -0.07.y + -0.0) / (0.69·xy + -0.12·x + -0.07·y + -0.0)
P(MC),P(-ISC|MC),0.5713,P(-C|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.5713,P(CT|-SH),(0.7·x + -0.1)/(0.7·x + -0.1),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.68·xy + 0.03·x + 0.18.y + 0.02) / (-0.68·xy + 0.03·x + 0.18·y + 0.02)
P(MC),P(-ISC|MC),0.5713,P(-CT|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.5713,P(B|-SH),(0.52·x + -0.48)/(0.52·x + -0.48),(0.7·x + -0.12)/(0.7·x + -0.12),(0.69·xy + -0.14·x + 0.02.y + 0.1) / (0.69·xy + -0.14·x + 0.02·y + 0.1)
P(MC),P(ISC|-MC),0.5713,P(-B|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
