Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|MC),0.6173,P(B|SH),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.52·x + -0.48)/(0.52·x + -0.48),(0.08·xy + -0.64·x + 0.18.y + 0.23) / (0.08·xy + -0.64·x + 0.18·y + 0.23)
P(MC),P(ISC|MC),0.6173,P(-B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.6173,P(C|SH),(-0.7·x + -0.09)/(-0.7·x + -0.09),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.63·xy + -0.17·x + 0.26.y + -0.03) / (0.63·xy + -0.17·x + 0.26·y + -0.03)
P(MC),P(ISC|MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.6173,P(CT|SH),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.31·x + -0.63)/(-0.31·x + -0.63),(-0.35·xy + 0.36·x + -0.49.y + -0.04) / (-0.35·xy + 0.36·x + -0.49·y + -0.04)
P(MC),P(ISC|MC),0.6173,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.6173,P(B|SH),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.7·x + -0.09)/(0.7·x + -0.09),(0.5·xy + 0.39·x + -0.31.y + -0.06) / (0.5·xy + 0.39·x + -0.31·y + -0.06)
P(MC),P(-ISC|MC),0.6173,P(-B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.6173,P(C|SH),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.2·xy + -0.66·x + 0.02.y + 0.13) / (0.2·xy + -0.66·x + 0.02·y + 0.13)
P(MC),P(-ISC|MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.6173,P(CT|SH),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.68·x + 0.18)/(-0.68·x + 0.18),(-0.66·xy + -0.01·x + -0.25.y + -0.02) / (-0.66·xy + -0.01·x + -0.25·y + -0.02)
P(MC),P(-ISC|MC),0.6173,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.6173,P(B|SH),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.69·x + 0.16)/(-0.69·x + 0.16),(-0.11·xy + -0.7·x + 0.02.y + -0.02) / (-0.11·xy + -0.7·x + 0.02·y + -0.02)
P(MC),P(ISC|-MC),0.6173,P(-B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.6173,P(C|SH),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.36·xy + 0.6·x + -0.08.y + -0.04) / (0.36·xy + 0.6·x + -0.08·y + -0.04)
P(MC),P(ISC|-MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.6173,P(CT|SH),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.03·xy + -0.7·x + 0.07.y + 0.09) / (0.03·xy + -0.7·x + 0.07·y + 0.09)
P(MC),P(ISC|-MC),0.6173,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6173,P(B|SH),(-0.69·x + 0.16)/(-0.69·x + 0.16),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.47·xy + -0.5·x + 0.0.y + -0.16) / (-0.47·xy + -0.5·x + 0.0·y + -0.16)
P(MC),P(-ISC|-MC),0.6173,P(-B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6173,P(C|SH),(-0.69·x + -0.16)/(-0.69·x + -0.16),(0.7·x + 0.07)/(0.7·x + 0.07),(-0.17·xy + -0.07·x + -0.68.y + 0.02) / (-0.17·xy + -0.07·x + -0.68·y + 0.02)
P(MC),P(-ISC|-MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6173,P(CT|SH),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.7·x + -0.09)/(0.7·x + -0.09),(0.69·xy + -0.07·x + 0.11.y + -0.04) / (0.69·xy + -0.07·x + 0.11·y + -0.04)
P(MC),P(-ISC|-MC),0.6173,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.6173,P(B|SH),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.7·x + 0.12)/(0.7·x + 0.12),(0.67·xy + 0.23·x + 0.02.y + -0.07) / (0.67·xy + 0.23·x + 0.02·y + -0.07)
P(-MC),P(ISC|MC),0.6173,P(-B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.6173,P(C|SH),(0.71·x + -0.02)/(0.71·x + -0.02),(0.16·x + 0.69)/(0.16·x + 0.69),(0.35·xy + -0.48·x + -0.34.y + -0.17) / (0.35·xy + -0.48·x + -0.34·y + -0.17)
P(-MC),P(ISC|MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.6173,P(CT|SH),(0.7·x + 0.06)/(0.7·x + 0.06),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.25·xy + -0.66·x + 0.03.y + 0.06) / (-0.25·xy + -0.66·x + 0.03·y + 0.06)
P(-MC),P(ISC|MC),0.6173,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.6173,P(B|SH),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.58·xy + -0.33·x + -0.23.y + 0.01) / (0.58·xy + -0.33·x + -0.23·y + 0.01)
P(-MC),P(-ISC|MC),0.6173,P(-B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.6173,P(C|SH),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.56·xy + -0.18·x + 0.38.y + -0.07) / (-0.56·xy + -0.18·x + 0.38·y + -0.07)
P(-MC),P(-ISC|MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
